platform,task_id,script_id,guardian_id,metric_id,required_for_weekly_review,expected_value,allowed_empty,zero_requires_source_check,source_to_check,proof_file,check_command,write_command,evidence_value,operator_status,notes
youtube_shorts,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,post_url,1,Real public HTTPS post URL from the platform.,0,0,Published platform post page.,docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt,python3 tools/promotion_post_text_import.py check --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt,"python3 tools/promotion_post_text_import.py add --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt --proof-note ""<REAL_PUBLIC_POST_AND_ANALYTICS_PROOF_NOTE> verified""",,pending,utm_content=iris_silence; tracked_url=https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence
youtube_shorts,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,published_date,1,YYYY-MM-DD date when the platform post became public.,0,0,Platform post timestamp or publishing dashboard.,docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt,python3 tools/promotion_post_text_import.py check --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt,"python3 tools/promotion_post_text_import.py add --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt --proof-note ""<REAL_PUBLIC_POST_AND_ANALYTICS_PROOF_NOTE> verified""",,pending,utm_content=iris_silence; tracked_url=https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence
youtube_shorts,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,proof_note,1,"Traceable analytics proof such as screenshot filename, platform analytics URL, report export, platform timestamp, or checked source note.",0,0,"Public URL check, screenshot, or platform dashboard.",docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt,python3 tools/promotion_post_text_import.py check --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt,"python3 tools/promotion_post_text_import.py add --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt --proof-note ""<REAL_PUBLIC_POST_AND_ANALYTICS_PROOF_NOTE> verified""",,pending,utm_content=iris_silence; tracked_url=https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence
youtube_shorts,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,site_clicks,1,Number of visits/clicks from this platform post or verified 0.,0,1,"Cloudflare/Web analytics, platform link analytics, or tracked UTM report.",docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt,python3 tools/promotion_post_text_import.py check --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt,"python3 tools/promotion_post_text_import.py add --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt --proof-note ""<REAL_PUBLIC_POST_AND_ANALYTICS_PROOF_NOTE> verified""",,pending,utm_content=iris_silence; tracked_url=https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence
youtube_shorts,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,quiz_starts,1,Number of quiz starts attributed to this post or verified 0.,0,1,"Funnel event catalog/report, analytics event export, or manual verified source.",docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt,python3 tools/promotion_post_text_import.py check --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt,"python3 tools/promotion_post_text_import.py add --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt --proof-note ""<REAL_PUBLIC_POST_AND_ANALYTICS_PROOF_NOTE> verified""",,pending,utm_content=iris_silence; tracked_url=https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence
youtube_shorts,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,quiz_completions,1,Number of quiz completions attributed to this post or verified 0.,0,1,"Funnel event catalog/report, analytics event export, or manual verified source.",docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt,python3 tools/promotion_post_text_import.py check --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt,"python3 tools/promotion_post_text_import.py add --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt --proof-note ""<REAL_PUBLIC_POST_AND_ANALYTICS_PROOF_NOTE> verified""",,pending,utm_content=iris_silence; tracked_url=https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence
youtube_shorts,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,source_checked,1,"Name/date of the source checked before accepting metrics, especially zeros.",0,0,Operator note from the platform or analytics source check.,docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt,python3 tools/promotion_post_text_import.py check --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt,"python3 tools/promotion_post_text_import.py add --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt --proof-note ""<REAL_PUBLIC_POST_AND_ANALYTICS_PROOF_NOTE> verified""",,pending,utm_content=iris_silence; tracked_url=https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence
tiktok,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,post_url,1,Real public HTTPS post URL from the platform.,0,0,Published platform post page.,docs/promotion/first-round/proof-tiktok-publish-lt-s01-iris-silence.txt,python3 tools/promotion_post_text_import.py check --input docs/promotion/first-round/proof-tiktok-publish-lt-s01-iris-silence.txt,"python3 tools/promotion_post_text_import.py add --input docs/promotion/first-round/proof-tiktok-publish-lt-s01-iris-silence.txt --proof-note ""<REAL_PUBLIC_POST_AND_ANALYTICS_PROOF_NOTE> verified""",,pending,utm_content=iris_silence; tracked_url=https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence
tiktok,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,published_date,1,YYYY-MM-DD date when the platform post became public.,0,0,Platform post timestamp or publishing dashboard.,docs/promotion/first-round/proof-tiktok-publish-lt-s01-iris-silence.txt,python3 tools/promotion_post_text_import.py check --input docs/promotion/first-round/proof-tiktok-publish-lt-s01-iris-silence.txt,"python3 tools/promotion_post_text_import.py add --input docs/promotion/first-round/proof-tiktok-publish-lt-s01-iris-silence.txt --proof-note ""<REAL_PUBLIC_POST_AND_ANALYTICS_PROOF_NOTE> verified""",,pending,utm_content=iris_silence; tracked_url=https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence
tiktok,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,proof_note,1,"Traceable analytics proof such as screenshot filename, platform analytics URL, report export, platform timestamp, or checked source note.",0,0,"Public URL check, screenshot, or platform dashboard.",docs/promotion/first-round/proof-tiktok-publish-lt-s01-iris-silence.txt,python3 tools/promotion_post_text_import.py check --input docs/promotion/first-round/proof-tiktok-publish-lt-s01-iris-silence.txt,"python3 tools/promotion_post_text_import.py add --input docs/promotion/first-round/proof-tiktok-publish-lt-s01-iris-silence.txt --proof-note ""<REAL_PUBLIC_POST_AND_ANALYTICS_PROOF_NOTE> verified""",,pending,utm_content=iris_silence; tracked_url=https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence
tiktok,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,site_clicks,1,Number of visits/clicks from this platform post or verified 0.,0,1,"Cloudflare/Web analytics, platform link analytics, or tracked UTM report.",docs/promotion/first-round/proof-tiktok-publish-lt-s01-iris-silence.txt,python3 tools/promotion_post_text_import.py check --input docs/promotion/first-round/proof-tiktok-publish-lt-s01-iris-silence.txt,"python3 tools/promotion_post_text_import.py add --input docs/promotion/first-round/proof-tiktok-publish-lt-s01-iris-silence.txt --proof-note ""<REAL_PUBLIC_POST_AND_ANALYTICS_PROOF_NOTE> verified""",,pending,utm_content=iris_silence; tracked_url=https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence
tiktok,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,quiz_starts,1,Number of quiz starts attributed to this post or verified 0.,0,1,"Funnel event catalog/report, analytics event export, or manual verified source.",docs/promotion/first-round/proof-tiktok-publish-lt-s01-iris-silence.txt,python3 tools/promotion_post_text_import.py check --input docs/promotion/first-round/proof-tiktok-publish-lt-s01-iris-silence.txt,"python3 tools/promotion_post_text_import.py add --input docs/promotion/first-round/proof-tiktok-publish-lt-s01-iris-silence.txt --proof-note ""<REAL_PUBLIC_POST_AND_ANALYTICS_PROOF_NOTE> verified""",,pending,utm_content=iris_silence; tracked_url=https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence
tiktok,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,quiz_completions,1,Number of quiz completions attributed to this post or verified 0.,0,1,"Funnel event catalog/report, analytics event export, or manual verified source.",docs/promotion/first-round/proof-tiktok-publish-lt-s01-iris-silence.txt,python3 tools/promotion_post_text_import.py check --input docs/promotion/first-round/proof-tiktok-publish-lt-s01-iris-silence.txt,"python3 tools/promotion_post_text_import.py add --input docs/promotion/first-round/proof-tiktok-publish-lt-s01-iris-silence.txt --proof-note ""<REAL_PUBLIC_POST_AND_ANALYTICS_PROOF_NOTE> verified""",,pending,utm_content=iris_silence; tracked_url=https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence
tiktok,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,source_checked,1,"Name/date of the source checked before accepting metrics, especially zeros.",0,0,Operator note from the platform or analytics source check.,docs/promotion/first-round/proof-tiktok-publish-lt-s01-iris-silence.txt,python3 tools/promotion_post_text_import.py check --input docs/promotion/first-round/proof-tiktok-publish-lt-s01-iris-silence.txt,"python3 tools/promotion_post_text_import.py add --input docs/promotion/first-round/proof-tiktok-publish-lt-s01-iris-silence.txt --proof-note ""<REAL_PUBLIC_POST_AND_ANALYTICS_PROOF_NOTE> verified""",,pending,utm_content=iris_silence; tracked_url=https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence
instagram_reels,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,post_url,1,Real public HTTPS post URL from the platform.,0,0,Published platform post page.,docs/promotion/first-round/proof-instagram_reels-publish-lt-s01-iris-silence.txt,python3 tools/promotion_post_text_import.py check --input docs/promotion/first-round/proof-instagram_reels-publish-lt-s01-iris-silence.txt,"python3 tools/promotion_post_text_import.py add --input docs/promotion/first-round/proof-instagram_reels-publish-lt-s01-iris-silence.txt --proof-note ""<REAL_PUBLIC_POST_AND_ANALYTICS_PROOF_NOTE> verified""",,pending,utm_content=iris_silence; tracked_url=https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence
instagram_reels,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,published_date,1,YYYY-MM-DD date when the platform post became public.,0,0,Platform post timestamp or publishing dashboard.,docs/promotion/first-round/proof-instagram_reels-publish-lt-s01-iris-silence.txt,python3 tools/promotion_post_text_import.py check --input docs/promotion/first-round/proof-instagram_reels-publish-lt-s01-iris-silence.txt,"python3 tools/promotion_post_text_import.py add --input docs/promotion/first-round/proof-instagram_reels-publish-lt-s01-iris-silence.txt --proof-note ""<REAL_PUBLIC_POST_AND_ANALYTICS_PROOF_NOTE> verified""",,pending,utm_content=iris_silence; tracked_url=https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence
instagram_reels,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,proof_note,1,"Traceable analytics proof such as screenshot filename, platform analytics URL, report export, platform timestamp, or checked source note.",0,0,"Public URL check, screenshot, or platform dashboard.",docs/promotion/first-round/proof-instagram_reels-publish-lt-s01-iris-silence.txt,python3 tools/promotion_post_text_import.py check --input docs/promotion/first-round/proof-instagram_reels-publish-lt-s01-iris-silence.txt,"python3 tools/promotion_post_text_import.py add --input docs/promotion/first-round/proof-instagram_reels-publish-lt-s01-iris-silence.txt --proof-note ""<REAL_PUBLIC_POST_AND_ANALYTICS_PROOF_NOTE> verified""",,pending,utm_content=iris_silence; tracked_url=https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence
instagram_reels,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,site_clicks,1,Number of visits/clicks from this platform post or verified 0.,0,1,"Cloudflare/Web analytics, platform link analytics, or tracked UTM report.",docs/promotion/first-round/proof-instagram_reels-publish-lt-s01-iris-silence.txt,python3 tools/promotion_post_text_import.py check --input docs/promotion/first-round/proof-instagram_reels-publish-lt-s01-iris-silence.txt,"python3 tools/promotion_post_text_import.py add --input docs/promotion/first-round/proof-instagram_reels-publish-lt-s01-iris-silence.txt --proof-note ""<REAL_PUBLIC_POST_AND_ANALYTICS_PROOF_NOTE> verified""",,pending,utm_content=iris_silence; tracked_url=https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence
instagram_reels,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,quiz_starts,1,Number of quiz starts attributed to this post or verified 0.,0,1,"Funnel event catalog/report, analytics event export, or manual verified source.",docs/promotion/first-round/proof-instagram_reels-publish-lt-s01-iris-silence.txt,python3 tools/promotion_post_text_import.py check --input docs/promotion/first-round/proof-instagram_reels-publish-lt-s01-iris-silence.txt,"python3 tools/promotion_post_text_import.py add --input docs/promotion/first-round/proof-instagram_reels-publish-lt-s01-iris-silence.txt --proof-note ""<REAL_PUBLIC_POST_AND_ANALYTICS_PROOF_NOTE> verified""",,pending,utm_content=iris_silence; tracked_url=https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence
instagram_reels,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,quiz_completions,1,Number of quiz completions attributed to this post or verified 0.,0,1,"Funnel event catalog/report, analytics event export, or manual verified source.",docs/promotion/first-round/proof-instagram_reels-publish-lt-s01-iris-silence.txt,python3 tools/promotion_post_text_import.py check --input docs/promotion/first-round/proof-instagram_reels-publish-lt-s01-iris-silence.txt,"python3 tools/promotion_post_text_import.py add --input docs/promotion/first-round/proof-instagram_reels-publish-lt-s01-iris-silence.txt --proof-note ""<REAL_PUBLIC_POST_AND_ANALYTICS_PROOF_NOTE> verified""",,pending,utm_content=iris_silence; tracked_url=https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence
instagram_reels,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,source_checked,1,"Name/date of the source checked before accepting metrics, especially zeros.",0,0,Operator note from the platform or analytics source check.,docs/promotion/first-round/proof-instagram_reels-publish-lt-s01-iris-silence.txt,python3 tools/promotion_post_text_import.py check --input docs/promotion/first-round/proof-instagram_reels-publish-lt-s01-iris-silence.txt,"python3 tools/promotion_post_text_import.py add --input docs/promotion/first-round/proof-instagram_reels-publish-lt-s01-iris-silence.txt --proof-note ""<REAL_PUBLIC_POST_AND_ANALYTICS_PROOF_NOTE> verified""",,pending,utm_content=iris_silence; tracked_url=https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence
