queue_id,experiment_id,guardian_id,guardian_name,experiment_type,status,step,deliverable,asset_id,target_url,owner,acceptance_check,writeback,safety_boundary
vivian-luna_soft_offer-brief,vivian-luna_soft_offer,vivian,薇薇安,luna_soft_offer,blocked_by_gate,brief,"Write a one-page asset brief with guardian, scene, promise boundary, and CTA.",vivian-luna_scene_cta,https://lovetypes.tw/luna-yoga-music/#luna-vivian,content,Brief keeps the Shorts CTA as quiz and places offer only after result route.,Update offer-experiment-plan after KPI review.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
vivian-luna_soft_offer-asset,vivian-luna_soft_offer,vivian,薇薇安,luna_soft_offer,blocked_by_gate,asset,Produce the smallest useful asset or route copy for the experiment.,vivian-luna_scene_cta,https://lovetypes.tw/luna-yoga-music/#luna-vivian,creative,Asset links to the existing target URL and does not claim diagnosis or therapeutic outcome.,Record fulfillment asset in lead-intake-tracker.csv when a real request exists.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
vivian-luna_soft_offer-qa,vivian-luna_soft_offer,vivian,薇薇安,luna_soft_offer,blocked_by_gate,qa,"Check safety copy, route, tracking event, and mobile presentation before publish.",vivian-luna_scene_cta,https://lovetypes.tw/luna-yoga-music/#luna-vivian,ops,Public smoke remains clean and no paid CTA is added before the experiment is READY.,Run predeploy_check.py before deploy.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
vivian-luna_soft_offer-measure,vivian-luna_soft_offer,vivian,薇薇安,luna_soft_offer,blocked_by_gate,measure,"After the test window, backfill KPI fields and decide continue, revise, or stop.",vivian-luna_scene_cta,https://lovetypes.tw/luna-yoga-music/#luna-vivian,ops,KPI row includes primary and secondary metric fields for the experiment.,"Update kpi-tracker.csv, weekly-summary, decision gate, offer board, and experiment plan.",只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
vivian-affiliate_book-brief,vivian-affiliate_book,vivian,薇薇安,affiliate_book,blocked_by_gate,brief,"Write a one-page asset brief with guardian, scene, promise boundary, and CTA.",vivian-affiliate_book_bundle,https://lovetypes.tw/resources/#supply-vivian,content,Brief keeps the Shorts CTA as quiz and places offer only after result route.,Update offer-experiment-plan after KPI review.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
vivian-affiliate_book-asset,vivian-affiliate_book,vivian,薇薇安,affiliate_book,blocked_by_gate,asset,Produce the smallest useful asset or route copy for the experiment.,vivian-affiliate_book_bundle,https://lovetypes.tw/resources/#supply-vivian,creative,Asset links to the existing target URL and does not claim diagnosis or therapeutic outcome.,Record fulfillment asset in lead-intake-tracker.csv when a real request exists.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
vivian-affiliate_book-qa,vivian-affiliate_book,vivian,薇薇安,affiliate_book,blocked_by_gate,qa,"Check safety copy, route, tracking event, and mobile presentation before publish.",vivian-affiliate_book_bundle,https://lovetypes.tw/resources/#supply-vivian,ops,Public smoke remains clean and no paid CTA is added before the experiment is READY.,Run predeploy_check.py before deploy.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
vivian-affiliate_book-measure,vivian-affiliate_book,vivian,薇薇安,affiliate_book,blocked_by_gate,measure,"After the test window, backfill KPI fields and decide continue, revise, or stop.",vivian-affiliate_book_bundle,https://lovetypes.tw/resources/#supply-vivian,ops,KPI row includes primary and secondary metric fields for the experiment.,"Update kpi-tracker.csv, weekly-summary, decision gate, offer board, and experiment plan.",只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-identity_save-brief,claire-identity_save,claire,克萊兒,identity_save,blocked_by_gate,brief,"Write a one-page asset brief with guardian, scene, promise boundary, and CTA.",claire-free_story_card_upgrade,https://lovetypes.tw/keepsakes/#keepsake-claire,content,Brief keeps the Shorts CTA as quiz and places offer only after result route.,Update offer-experiment-plan after KPI review.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-identity_save-asset,claire-identity_save,claire,克萊兒,identity_save,blocked_by_gate,asset,Produce the smallest useful asset or route copy for the experiment.,claire-free_story_card_upgrade,https://lovetypes.tw/keepsakes/#keepsake-claire,creative,Asset links to the existing target URL and does not claim diagnosis or therapeutic outcome.,Record fulfillment asset in lead-intake-tracker.csv when a real request exists.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-identity_save-qa,claire-identity_save,claire,克萊兒,identity_save,blocked_by_gate,qa,"Check safety copy, route, tracking event, and mobile presentation before publish.",claire-free_story_card_upgrade,https://lovetypes.tw/keepsakes/#keepsake-claire,ops,Public smoke remains clean and no paid CTA is added before the experiment is READY.,Run predeploy_check.py before deploy.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-identity_save-measure,claire-identity_save,claire,克萊兒,identity_save,blocked_by_gate,measure,"After the test window, backfill KPI fields and decide continue, revise, or stop.",claire-free_story_card_upgrade,https://lovetypes.tw/keepsakes/#keepsake-claire,ops,KPI row includes primary and secondary metric fields for the experiment.,"Update kpi-tracker.csv, weekly-summary, decision gate, offer board, and experiment plan.",只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-owned_lead-brief,claire-owned_lead,claire,克萊兒,owned_lead,blocked_by_gate,brief,"Write a one-page asset brief with guardian, scene, promise boundary, and CTA.",claire-email_lead_template,https://lovetypes.tw/contact/#luna-supply-request,content,Brief keeps the Shorts CTA as quiz and places offer only after result route.,Update offer-experiment-plan after KPI review.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-owned_lead-asset,claire-owned_lead,claire,克萊兒,owned_lead,blocked_by_gate,asset,Produce the smallest useful asset or route copy for the experiment.,claire-email_lead_template,https://lovetypes.tw/contact/#luna-supply-request,creative,Asset links to the existing target URL and does not claim diagnosis or therapeutic outcome.,Record fulfillment asset in lead-intake-tracker.csv when a real request exists.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-owned_lead-qa,claire-owned_lead,claire,克萊兒,owned_lead,blocked_by_gate,qa,"Check safety copy, route, tracking event, and mobile presentation before publish.",claire-email_lead_template,https://lovetypes.tw/contact/#luna-supply-request,ops,Public smoke remains clean and no paid CTA is added before the experiment is READY.,Run predeploy_check.py before deploy.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-owned_lead-measure,claire-owned_lead,claire,克萊兒,owned_lead,blocked_by_gate,measure,"After the test window, backfill KPI fields and decide continue, revise, or stop.",claire-email_lead_template,https://lovetypes.tw/contact/#luna-supply-request,ops,KPI row includes primary and secondary metric fields for the experiment.,"Update kpi-tracker.csv, weekly-summary, decision gate, offer board, and experiment plan.",只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-luna_soft_offer-brief,claire-luna_soft_offer,claire,克萊兒,luna_soft_offer,blocked_by_gate,brief,"Write a one-page asset brief with guardian, scene, promise boundary, and CTA.",claire-luna_scene_cta,https://lovetypes.tw/luna-yoga-music/#luna-claire,content,Brief keeps the Shorts CTA as quiz and places offer only after result route.,Update offer-experiment-plan after KPI review.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-luna_soft_offer-asset,claire-luna_soft_offer,claire,克萊兒,luna_soft_offer,blocked_by_gate,asset,Produce the smallest useful asset or route copy for the experiment.,claire-luna_scene_cta,https://lovetypes.tw/luna-yoga-music/#luna-claire,creative,Asset links to the existing target URL and does not claim diagnosis or therapeutic outcome.,Record fulfillment asset in lead-intake-tracker.csv when a real request exists.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-luna_soft_offer-qa,claire-luna_soft_offer,claire,克萊兒,luna_soft_offer,blocked_by_gate,qa,"Check safety copy, route, tracking event, and mobile presentation before publish.",claire-luna_scene_cta,https://lovetypes.tw/luna-yoga-music/#luna-claire,ops,Public smoke remains clean and no paid CTA is added before the experiment is READY.,Run predeploy_check.py before deploy.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-luna_soft_offer-measure,claire-luna_soft_offer,claire,克萊兒,luna_soft_offer,blocked_by_gate,measure,"After the test window, backfill KPI fields and decide continue, revise, or stop.",claire-luna_scene_cta,https://lovetypes.tw/luna-yoga-music/#luna-claire,ops,KPI row includes primary and secondary metric fields for the experiment.,"Update kpi-tracker.csv, weekly-summary, decision gate, offer board, and experiment plan.",只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-affiliate_book-brief,claire-affiliate_book,claire,克萊兒,affiliate_book,blocked_by_gate,brief,"Write a one-page asset brief with guardian, scene, promise boundary, and CTA.",claire-affiliate_book_bundle,https://lovetypes.tw/resources/#supply-claire,content,Brief keeps the Shorts CTA as quiz and places offer only after result route.,Update offer-experiment-plan after KPI review.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-affiliate_book-asset,claire-affiliate_book,claire,克萊兒,affiliate_book,blocked_by_gate,asset,Produce the smallest useful asset or route copy for the experiment.,claire-affiliate_book_bundle,https://lovetypes.tw/resources/#supply-claire,creative,Asset links to the existing target URL and does not claim diagnosis or therapeutic outcome.,Record fulfillment asset in lead-intake-tracker.csv when a real request exists.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-affiliate_book-qa,claire-affiliate_book,claire,克萊兒,affiliate_book,blocked_by_gate,qa,"Check safety copy, route, tracking event, and mobile presentation before publish.",claire-affiliate_book_bundle,https://lovetypes.tw/resources/#supply-claire,ops,Public smoke remains clean and no paid CTA is added before the experiment is READY.,Run predeploy_check.py before deploy.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
claire-affiliate_book-measure,claire-affiliate_book,claire,克萊兒,affiliate_book,blocked_by_gate,measure,"After the test window, backfill KPI fields and decide continue, revise, or stop.",claire-affiliate_book_bundle,https://lovetypes.tw/resources/#supply-claire,ops,KPI row includes primary and secondary metric fields for the experiment.,"Update kpi-tracker.csv, weekly-summary, decision gate, offer board, and experiment plan.",只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
dora-identity_save-brief,dora-identity_save,dora,朵拉,identity_save,blocked_by_gate,brief,"Write a one-page asset brief with guardian, scene, promise boundary, and CTA.",dora-free_story_card_upgrade,https://lovetypes.tw/keepsakes/#keepsake-dora,content,Brief keeps the Shorts CTA as quiz and places offer only after result route.,Update offer-experiment-plan after KPI review.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
dora-identity_save-asset,dora-identity_save,dora,朵拉,identity_save,blocked_by_gate,asset,Produce the smallest useful asset or route copy for the experiment.,dora-free_story_card_upgrade,https://lovetypes.tw/keepsakes/#keepsake-dora,creative,Asset links to the existing target URL and does not claim diagnosis or therapeutic outcome.,Record fulfillment asset in lead-intake-tracker.csv when a real request exists.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
dora-identity_save-qa,dora-identity_save,dora,朵拉,identity_save,blocked_by_gate,qa,"Check safety copy, route, tracking event, and mobile presentation before publish.",dora-free_story_card_upgrade,https://lovetypes.tw/keepsakes/#keepsake-dora,ops,Public smoke remains clean and no paid CTA is added before the experiment is READY.,Run predeploy_check.py before deploy.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
dora-identity_save-measure,dora-identity_save,dora,朵拉,identity_save,blocked_by_gate,measure,"After the test window, backfill KPI fields and decide continue, revise, or stop.",dora-free_story_card_upgrade,https://lovetypes.tw/keepsakes/#keepsake-dora,ops,KPI row includes primary and secondary metric fields for the experiment.,"Update kpi-tracker.csv, weekly-summary, decision gate, offer board, and experiment plan.",只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
dora-owned_lead-brief,dora-owned_lead,dora,朵拉,owned_lead,blocked_by_gate,brief,"Write a one-page asset brief with guardian, scene, promise boundary, and CTA.",dora-email_lead_template,https://lovetypes.tw/contact/#luna-supply-request,content,Brief keeps the Shorts CTA as quiz and places offer only after result route.,Update offer-experiment-plan after KPI review.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
dora-owned_lead-asset,dora-owned_lead,dora,朵拉,owned_lead,blocked_by_gate,asset,Produce the smallest useful asset or route copy for the experiment.,dora-email_lead_template,https://lovetypes.tw/contact/#luna-supply-request,creative,Asset links to the existing target URL and does not claim diagnosis or therapeutic outcome.,Record fulfillment asset in lead-intake-tracker.csv when a real request exists.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
dora-owned_lead-qa,dora-owned_lead,dora,朵拉,owned_lead,blocked_by_gate,qa,"Check safety copy, route, tracking event, and mobile presentation before publish.",dora-email_lead_template,https://lovetypes.tw/contact/#luna-supply-request,ops,Public smoke remains clean and no paid CTA is added before the experiment is READY.,Run predeploy_check.py before deploy.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
dora-owned_lead-measure,dora-owned_lead,dora,朵拉,owned_lead,blocked_by_gate,measure,"After the test window, backfill KPI fields and decide continue, revise, or stop.",dora-email_lead_template,https://lovetypes.tw/contact/#luna-supply-request,ops,KPI row includes primary and secondary metric fields for the experiment.,"Update kpi-tracker.csv, weekly-summary, decision gate, offer board, and experiment plan.",只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
dora-luna_soft_offer-brief,dora-luna_soft_offer,dora,朵拉,luna_soft_offer,blocked_by_gate,brief,"Write a one-page asset brief with guardian, scene, promise boundary, and CTA.",dora-luna_scene_cta,https://lovetypes.tw/luna-yoga-music/#luna-dora,content,Brief keeps the Shorts CTA as quiz and places offer only after result route.,Update offer-experiment-plan after KPI review.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
dora-luna_soft_offer-asset,dora-luna_soft_offer,dora,朵拉,luna_soft_offer,blocked_by_gate,asset,Produce the smallest useful asset or route copy for the experiment.,dora-luna_scene_cta,https://lovetypes.tw/luna-yoga-music/#luna-dora,creative,Asset links to the existing target URL and does not claim diagnosis or therapeutic outcome.,Record fulfillment asset in lead-intake-tracker.csv when a real request exists.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
dora-luna_soft_offer-qa,dora-luna_soft_offer,dora,朵拉,luna_soft_offer,blocked_by_gate,qa,"Check safety copy, route, tracking event, and mobile presentation before publish.",dora-luna_scene_cta,https://lovetypes.tw/luna-yoga-music/#luna-dora,ops,Public smoke remains clean and no paid CTA is added before the experiment is READY.,Run predeploy_check.py before deploy.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
dora-luna_soft_offer-measure,dora-luna_soft_offer,dora,朵拉,luna_soft_offer,blocked_by_gate,measure,"After the test window, backfill KPI fields and decide continue, revise, or stop.",dora-luna_scene_cta,https://lovetypes.tw/luna-yoga-music/#luna-dora,ops,KPI row includes primary and secondary metric fields for the experiment.,"Update kpi-tracker.csv, weekly-summary, decision gate, offer board, and experiment plan.",只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
dora-affiliate_book-brief,dora-affiliate_book,dora,朵拉,affiliate_book,blocked_by_gate,brief,"Write a one-page asset brief with guardian, scene, promise boundary, and CTA.",dora-affiliate_book_bundle,https://lovetypes.tw/resources/#supply-dora,content,Brief keeps the Shorts CTA as quiz and places offer only after result route.,Update offer-experiment-plan after KPI review.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
dora-affiliate_book-asset,dora-affiliate_book,dora,朵拉,affiliate_book,blocked_by_gate,asset,Produce the smallest useful asset or route copy for the experiment.,dora-affiliate_book_bundle,https://lovetypes.tw/resources/#supply-dora,creative,Asset links to the existing target URL and does not claim diagnosis or therapeutic outcome.,Record fulfillment asset in lead-intake-tracker.csv when a real request exists.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
dora-affiliate_book-qa,dora-affiliate_book,dora,朵拉,affiliate_book,blocked_by_gate,qa,"Check safety copy, route, tracking event, and mobile presentation before publish.",dora-affiliate_book_bundle,https://lovetypes.tw/resources/#supply-dora,ops,Public smoke remains clean and no paid CTA is added before the experiment is READY.,Run predeploy_check.py before deploy.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
dora-affiliate_book-measure,dora-affiliate_book,dora,朵拉,affiliate_book,blocked_by_gate,measure,"After the test window, backfill KPI fields and decide continue, revise, or stop.",dora-affiliate_book_bundle,https://lovetypes.tw/resources/#supply-dora,ops,KPI row includes primary and secondary metric fields for the experiment.,"Update kpi-tracker.csv, weekly-summary, decision gate, offer board, and experiment plan.",只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
