platform,label,check_id,required_evidence,expected_value,proof_file,check_command,write_command,evidence_value,operator_status,notes
youtube_shorts,YouTube Shorts,youtube_shorts-01-platform_account_visible,platform_account_visible,The correct platform account/profile page is visible before editing.,docs/promotion/first-round/proof-youtube_shorts.txt,python3 tools/promotion_profile_text_import.py check --input docs/promotion/first-round/proof-youtube_shorts.txt,"python3 tools/promotion_profile_text_import.py add --input docs/promotion/first-round/proof-youtube_shorts.txt --proof-note ""screenshot profile-youtube_shorts-2026-06-14.png verified""",,pending,profile link 已實際貼到平台個人頁或說明欄。
youtube_shorts,YouTube Shorts,youtube_shorts-02-profile_link_visible_or_clickable,profile_link_visible_or_clickable,"The platform profile, website field, description, or pinned comment visibly contains the tracked /start/ link.",docs/promotion/first-round/proof-youtube_shorts.txt,python3 tools/promotion_profile_text_import.py check --input docs/promotion/first-round/proof-youtube_shorts.txt,"python3 tools/promotion_profile_text_import.py add --input docs/promotion/first-round/proof-youtube_shorts.txt --proof-note ""screenshot profile-youtube_shorts-2026-06-14.png verified""",,pending,Link location: Channel description / video description; URL: https://lovetypes.tw/start/?utm_source=youtube&utm_medium=social_profile&utm_campaign=first_round_quiz_completion&utm_content=youtube_shorts_bio
youtube_shorts,YouTube Shorts,youtube_shorts-03-start_url_resolves,start_url_resolves,Clicking or copying the platform link reaches https://lovetypes.tw/start/ without 404.,docs/promotion/first-round/proof-youtube_shorts.txt,python3 tools/promotion_profile_text_import.py check --input docs/promotion/first-round/proof-youtube_shorts.txt,"python3 tools/promotion_profile_text_import.py add --input docs/promotion/first-round/proof-youtube_shorts.txt --proof-note ""screenshot profile-youtube_shorts-2026-06-14.png verified""",,pending,從平台畫面點擊或複製連結後，仍可抵達 https://lovetypes.tw/start/。
youtube_shorts,YouTube Shorts,youtube_shorts-04-utm_parameters_preserved,utm_parameters_preserved,"utm_source, utm_medium, utm_campaign, and utm_content are still present after platform handling.",docs/promotion/first-round/proof-youtube_shorts.txt,python3 tools/promotion_profile_text_import.py check --input docs/promotion/first-round/proof-youtube_shorts.txt,"python3 tools/promotion_profile_text_import.py add --input docs/promotion/first-round/proof-youtube_shorts.txt --proof-note ""screenshot profile-youtube_shorts-2026-06-14.png verified""",,pending,UTM source / medium / campaign / content 沒有被平台移除或改寫。
youtube_shorts,YouTube Shorts,youtube_shorts-05-quiz_only_copy,quiz_only_copy,"Bio/comment copy only promotes the 15-question guardian quiz; no Luna, affiliate, paid, diagnosis, or treatment promise.",docs/promotion/first-round/proof-youtube_shorts.txt,python3 tools/promotion_profile_text_import.py check --input docs/promotion/first-round/proof-youtube_shorts.txt,"python3 tools/promotion_profile_text_import.py add --input docs/promotion/first-round/proof-youtube_shorts.txt --proof-note ""screenshot profile-youtube_shorts-2026-06-14.png verified""",,pending,Bio 與置頂留言只導向 15 題測驗，沒有導購、療效或診斷承諾。
youtube_shorts,YouTube Shorts,youtube_shorts-06-proof_note_present,proof_note_present,"A traceable proof note exists, such as screenshot filename, public clicked URL, or screen recording filename.",docs/promotion/first-round/proof-youtube_shorts.txt,python3 tools/promotion_profile_text_import.py check --input docs/promotion/first-round/proof-youtube_shorts.txt,"python3 tools/promotion_profile_text_import.py add --input docs/promotion/first-round/proof-youtube_shorts.txt --proof-note ""screenshot profile-youtube_shorts-2026-06-14.png verified""",,pending,留下可追溯 proof note，例如平台、設定時間、截圖檔名或手動驗證紀錄。
tiktok,TikTok,tiktok-01-platform_account_visible,platform_account_visible,The correct platform account/profile page is visible before editing.,docs/promotion/first-round/proof-tiktok.txt,python3 tools/promotion_profile_text_import.py check --input docs/promotion/first-round/proof-tiktok.txt,"python3 tools/promotion_profile_text_import.py add --input docs/promotion/first-round/proof-tiktok.txt --proof-note ""screenshot profile-tiktok-2026-06-14.png verified""",,pending,profile link 已實際貼到平台個人頁或說明欄。
tiktok,TikTok,tiktok-02-profile_link_visible_or_clickable,profile_link_visible_or_clickable,"The platform profile, website field, description, or pinned comment visibly contains the tracked /start/ link.",docs/promotion/first-round/proof-tiktok.txt,python3 tools/promotion_profile_text_import.py check --input docs/promotion/first-round/proof-tiktok.txt,"python3 tools/promotion_profile_text_import.py add --input docs/promotion/first-round/proof-tiktok.txt --proof-note ""screenshot profile-tiktok-2026-06-14.png verified""",,pending,Link location: Profile website link; URL: https://lovetypes.tw/start/?utm_source=tiktok&utm_medium=social_profile&utm_campaign=first_round_quiz_completion&utm_content=tiktok_bio
tiktok,TikTok,tiktok-03-start_url_resolves,start_url_resolves,Clicking or copying the platform link reaches https://lovetypes.tw/start/ without 404.,docs/promotion/first-round/proof-tiktok.txt,python3 tools/promotion_profile_text_import.py check --input docs/promotion/first-round/proof-tiktok.txt,"python3 tools/promotion_profile_text_import.py add --input docs/promotion/first-round/proof-tiktok.txt --proof-note ""screenshot profile-tiktok-2026-06-14.png verified""",,pending,從平台畫面點擊或複製連結後，仍可抵達 https://lovetypes.tw/start/。
tiktok,TikTok,tiktok-04-utm_parameters_preserved,utm_parameters_preserved,"utm_source, utm_medium, utm_campaign, and utm_content are still present after platform handling.",docs/promotion/first-round/proof-tiktok.txt,python3 tools/promotion_profile_text_import.py check --input docs/promotion/first-round/proof-tiktok.txt,"python3 tools/promotion_profile_text_import.py add --input docs/promotion/first-round/proof-tiktok.txt --proof-note ""screenshot profile-tiktok-2026-06-14.png verified""",,pending,UTM source / medium / campaign / content 沒有被平台移除或改寫。
tiktok,TikTok,tiktok-05-quiz_only_copy,quiz_only_copy,"Bio/comment copy only promotes the 15-question guardian quiz; no Luna, affiliate, paid, diagnosis, or treatment promise.",docs/promotion/first-round/proof-tiktok.txt,python3 tools/promotion_profile_text_import.py check --input docs/promotion/first-round/proof-tiktok.txt,"python3 tools/promotion_profile_text_import.py add --input docs/promotion/first-round/proof-tiktok.txt --proof-note ""screenshot profile-tiktok-2026-06-14.png verified""",,pending,Bio 與置頂留言只導向 15 題測驗，沒有導購、療效或診斷承諾。
tiktok,TikTok,tiktok-06-proof_note_present,proof_note_present,"A traceable proof note exists, such as screenshot filename, public clicked URL, or screen recording filename.",docs/promotion/first-round/proof-tiktok.txt,python3 tools/promotion_profile_text_import.py check --input docs/promotion/first-round/proof-tiktok.txt,"python3 tools/promotion_profile_text_import.py add --input docs/promotion/first-round/proof-tiktok.txt --proof-note ""screenshot profile-tiktok-2026-06-14.png verified""",,pending,留下可追溯 proof note，例如平台、設定時間、截圖檔名或手動驗證紀錄。
instagram_reels,Instagram Reels,instagram_reels-01-platform_account_visible,platform_account_visible,The correct platform account/profile page is visible before editing.,docs/promotion/first-round/proof-instagram_reels.txt,python3 tools/promotion_profile_text_import.py check --input docs/promotion/first-round/proof-instagram_reels.txt,"python3 tools/promotion_profile_text_import.py add --input docs/promotion/first-round/proof-instagram_reels.txt --proof-note ""screenshot profile-instagram_reels-2026-06-14.png verified""",,pending,profile link 已實際貼到平台個人頁或說明欄。
instagram_reels,Instagram Reels,instagram_reels-02-profile_link_visible_or_clickable,profile_link_visible_or_clickable,"The platform profile, website field, description, or pinned comment visibly contains the tracked /start/ link.",docs/promotion/first-round/proof-instagram_reels.txt,python3 tools/promotion_profile_text_import.py check --input docs/promotion/first-round/proof-instagram_reels.txt,"python3 tools/promotion_profile_text_import.py add --input docs/promotion/first-round/proof-instagram_reels.txt --proof-note ""screenshot profile-instagram_reels-2026-06-14.png verified""",,pending,Link location: Profile link in bio; URL: https://lovetypes.tw/start/?utm_source=instagram&utm_medium=social_profile&utm_campaign=first_round_quiz_completion&utm_content=instagram_reels_bio
instagram_reels,Instagram Reels,instagram_reels-03-start_url_resolves,start_url_resolves,Clicking or copying the platform link reaches https://lovetypes.tw/start/ without 404.,docs/promotion/first-round/proof-instagram_reels.txt,python3 tools/promotion_profile_text_import.py check --input docs/promotion/first-round/proof-instagram_reels.txt,"python3 tools/promotion_profile_text_import.py add --input docs/promotion/first-round/proof-instagram_reels.txt --proof-note ""screenshot profile-instagram_reels-2026-06-14.png verified""",,pending,從平台畫面點擊或複製連結後，仍可抵達 https://lovetypes.tw/start/。
instagram_reels,Instagram Reels,instagram_reels-04-utm_parameters_preserved,utm_parameters_preserved,"utm_source, utm_medium, utm_campaign, and utm_content are still present after platform handling.",docs/promotion/first-round/proof-instagram_reels.txt,python3 tools/promotion_profile_text_import.py check --input docs/promotion/first-round/proof-instagram_reels.txt,"python3 tools/promotion_profile_text_import.py add --input docs/promotion/first-round/proof-instagram_reels.txt --proof-note ""screenshot profile-instagram_reels-2026-06-14.png verified""",,pending,UTM source / medium / campaign / content 沒有被平台移除或改寫。
instagram_reels,Instagram Reels,instagram_reels-05-quiz_only_copy,quiz_only_copy,"Bio/comment copy only promotes the 15-question guardian quiz; no Luna, affiliate, paid, diagnosis, or treatment promise.",docs/promotion/first-round/proof-instagram_reels.txt,python3 tools/promotion_profile_text_import.py check --input docs/promotion/first-round/proof-instagram_reels.txt,"python3 tools/promotion_profile_text_import.py add --input docs/promotion/first-round/proof-instagram_reels.txt --proof-note ""screenshot profile-instagram_reels-2026-06-14.png verified""",,pending,Bio 與置頂留言只導向 15 題測驗，沒有導購、療效或診斷承諾。
instagram_reels,Instagram Reels,instagram_reels-06-proof_note_present,proof_note_present,"A traceable proof note exists, such as screenshot filename, public clicked URL, or screen recording filename.",docs/promotion/first-round/proof-instagram_reels.txt,python3 tools/promotion_profile_text_import.py check --input docs/promotion/first-round/proof-instagram_reels.txt,"python3 tools/promotion_profile_text_import.py add --input docs/promotion/first-round/proof-instagram_reels.txt --proof-note ""screenshot profile-instagram_reels-2026-06-14.png verified""",,pending,留下可追溯 proof note，例如平台、設定時間、截圖檔名或手動驗證紀錄。
